,id,ct_median_income
258,16630498,100357
259,2175930,96429
260,16412763,109243
261,2259719,48571
262,20667572,111616
263,17847644,48615
264,18923450,127065
265,15448688,36272
266,15203727,71553
267,1654170,166010
268,15636707,97875
269,15982486,20902
270,17462133,109352
271,18078627,145804
272,19242128,114936
273,19247246,75945
274,16243308,40395
275,20137770,110592
276,3219171,96641
277,19193758,105188
278,16368734,77750
279,13309996,70521
280,443646,113819
281,3384323,42018
282,13811836,69271
283,5250051,119464
284,9571665,145804
285,14199379,84231
286,20208787,37868
287,9150171,64303
288,18347483,60214
289,14575109,113018
290,8532763,48750
291,9550807,165083
292,21188095,167708
293,15805642,89340
294,20757371,38968
295,10517632,52083
296,18108134,59038
297,11121225,80651
298,20203225,72601
299,9685324,32008
300,7004468,79833
301,17109866,92500
302,9794825,44857
303,5050799,86667
304,17476750,56823
305,1425347,59970
306,1720583,98264
307,17478124,82266
308,11150526,38176
309,14199146,106944
310,16740779,82026
311,18627135,50990
312,225205,48750
313,13331968,85828
314,16416143,20288
315,12384692,94946
316,16270454,55370
317,15294943,45938
318,16929145,35725
319,13923267,106872
320,2091153,123542
321,17889536,69363
322,1074406,96641
323,6261296,82026
324,18089318,42077
325,4833294,113750
326,131747,77254
327,16445600,60450
328,7327920,72632
329,16243107,22306
330,13725947,79833
331,17880165,44493
332,17861841,49521
333,16630434,129464
334,6832557,30982
335,9168586,84777
336,15188419,65833
337,469810,39295
338,5029761,52295
339,2739703,106090
340,5586306,74728
341,11077219,92168
342,12414037,28892
343,19927986,20125
344,16959968,52823
345,15888389,120917
346,13150529,45938
347,20773540,85313
348,18388570,54780
349,20620600,66698
350,15954428,20125
351,12419766,55996
352,17587897,100889
353,21051935,91827
354,7632804,62264
355,18003619,31571
356,8937240,95080
357,6473307,31202
358,6337168,104330
359,19176565,103275
360,18314694,120319
361,13896597,81201
362,3084267,132386
363,17649894,21653
364,142177,48676
365,15438016,49688
366,12981814,42356
367,13766952,76003
368,9635607,64303
369,16163323,96250
370,16599054,67470
371,14505006,73250
372,8152867,131770
373,16670882,127065
374,21054696,61292
375,10588426,170053
376,9862763,55932
377,17909363,115100
378,13559613,26822
379,9588196,35795
380,2917203,84367
381,9379983,65298
382,15639615,87535
383,14205033,85938
384,12388682,92500
385,2935269,80651
386,10040637,47703
387,10236473,40368
388,6968737,48537
389,18393239,93875
390,16620641,92174
391,17992312,26512
392,9773252,116339
393,4264211,40269
394,12544062,52679
395,2526345,90625
396,15247678,47935
397,2254469,94055
398,21106002,170865
399,2484207,87276
400,9366080,36977
401,19839317,93569
402,10074308,70375
403,16263502,36949
404,14648838,101910
405,15194928,31705
406,13576818,33700
407,5094335,67127
408,4738113,105538
409,7346941,36907
410,13707814,26582
411,18054278,26729
412,17406413,55653
413,2197591,-666666666
414,15343791,62632
415,16315222,40967
416,6197217,118198
417,14655794,32407
418,9260911,26071
419,19700646,70521
420,16707697,102171
421,17333246,56823
422,14714654,53442
423,16014394,48615
424,4099682,144886
425,7921643,33953
426,8780339,39760
427,3883401,58438
428,17100621,100000
429,8741446,83750
430,16352907,101772
431,20724,61983
432,7489397,61761
433,728875,183646
434,11638339,100357
435,12497789,62632
436,7894983,108306
437,1602772,93092
438,15787428,86307
439,18476541,165551
440,13800319,55536
441,1728853,180742
442,337960,96641
443,20955156,129792
444,7602426,48676
445,13327413,48990
446,15289766,74828
447,20432170,49620
448,14093209,126036
449,17384804,75945
450,755032,135011
451,13467391,75909
452,15115673,74700
453,8595359,84018
454,7939196,175625
455,5105516,133079
456,18341150,23700
457,6224858,117181
458,14575962,98264
459,9929790,52479
460,9651070,55408
461,17191563,82344
462,14101449,39552
463,1466880,-666666666
464,14319849,41635
465,13453710,37234
466,434792,101667
467,10803794,60875
468,19664338,42986
469,12530488,110417
470,15581030,135532
471,8990226,52262
472,10628277,101778
473,16780250,128875
474,6799722,34304
475,618865,158125
476,1135064,36570
477,16710236,19333
478,19564384,70848
479,10253271,92179
480,15644082,93063
481,14234871,87276
482,5631995,108571
483,4083049,102045
484,21150388,55313
485,5774013,73354
486,7611169,57269
487,14994292,127184
488,11679583,33806
489,10351722,35733
490,245504,62632
491,4619162,123649
492,2586923,33953
493,15275345,65129
494,7493312,107448
495,10968594,64303
496,14949545,47559
497,11742647,38021
498,18529703,28949
499,8763676,84615
500,18329276,42054
501,11679582,118152
502,13803420,168409
503,19905148,44286
504,14574198,108306
505,5761831,65222
506,16425763,75012
507,15656661,79167
508,16822873,57230
509,3907865,40056
510,1708262,64583
511,14690075,151234
512,15942713,55932
513,19880329,85313
514,11750272,107716
515,1850140,102045
516,10733505,39727
517,18072133,65746
518,2625766,130232
519,288726,102161
520,708802,53385
521,1912357,21154
522,13045369,78750
523,18136478,76250
524,16856660,68448
525,20973084,120917
526,14299164,31270
527,19200270,39475
528,15462217,110536
529,4873463,50236
530,13858626,59118
531,12549742,66835
532,16808544,99120
533,8036967,57215
534,4281241,110950
535,18273151,74828
536,15772118,101140
537,17269656,127573
538,18464508,66310
539,24266,29648
540,10060797,87664
541,18714825,72601
542,9545064,112500
543,9694633,88222
544,15937164,74875
545,13660425,98264
546,18894648,66835
547,10422846,83929
548,4638668,87617
549,13600935,59018
550,6625283,61979
551,212297,59460
552,4874722,58958
553,18311288,47652
554,15629616,61750
555,3792523,76528
556,400478,108571
557,13083240,33869
558,4793938,87028
559,9015954,83750
560,449660,55313
561,1609676,48615
562,1109548,84367
563,5132940,118125
564,454188,84375
565,16415389,96161
566,20304639,16723
567,16918135,68482
568,18841599,106944
569,10752160,71801
570,20676044,121344
571,18239740,26401
572,6522149,135651
573,4701058,57159
574,169306,74728
575,17665510,52676
576,15532430,42018
577,19911540,52054
578,19610807,49521
579,20786037,127409
580,1864757,113984
581,4746764,61750
582,17317366,86773
583,17347989,71591
584,4896839,74193
585,19588629,203529
586,15215678,68703
587,7159258,44559
588,9328896,113750
589,19870249,134722
590,5526245,73575
591,15548666,97988
592,16703040,93479
593,4922204,125108
594,11786930,113821
595,1752714,63617
596,13641058,125203
597,6414967,64228
598,7563764,69722
599,9872904,31270
600,16285014,136700
601,11181138,66217
602,15424599,42878
603,15482378,82410
604,7731797,90625
605,13511137,75300
606,16443243,46471
607,9391829,150938
608,7369899,47993
609,7639730,85904
610,14139488,70885
611,6783846,116761
612,14124243,79779
613,13881577,136168
614,20478876,65833
615,136493,102165
616,2658531,80906
617,15969709,56894
618,16277087,145000
619,3932801,58838
620,17042579,78207
621,6226236,42077
622,9010890,116928
623,3667492,79167
624,4828543,36054
625,15028762,92802
626,6592661,202014
627,6567853,94271
628,12984553,83169
629,15917906,50265
630,16783042,128875
631,9614676,70948
632,6143706,101583
633,16596185,37089
634,11443001,98608
635,45299,150670
636,15205467,67852
637,310524,87276
638,11987274,62609
639,4819087,52240
640,4776065,51699
641,9091805,93063
642,15042195,39552
643,12336008,71004
644,13068133,76522
645,11491676,26188
646,17367117,156250
647,7826548,65222
648,10434883,83047
649,272637,91528
650,4256091,79219
651,8217454,40469
652,16529936,80496
653,15657856,154769
654,2296136,88222
655,13908582,145592
656,20075726,81844
657,19120385,127904
658,19950255,112784
659,2092778,29564
660,6485535,78014
661,9806843,90625
662,13789433,71429
663,3507112,124544
664,16404289,61357
665,15207202,38115
666,14284377,54259
667,20788646,142688
668,10946978,20694
669,13433732,67454
670,56200,58289
671,6797961,70457
672,8405551,29648
673,10068240,84938
674,15323278,135521
675,16436970,46585
676,269463,47734
677,5730126,88266
678,19122211,60450
679,3068109,120917
680,5999400,118167
681,17461475,111441
682,12410264,29375
683,13997379,29476
684,4721420,113821
685,16258036,89674
686,1614830,62672
687,732944,69318
688,8284633,81464
689,17761961,42776
690,15147053,18045
691,18942735,118077
692,305245,65588
693,13359798,42325
694,16390897,120244
695,16813891,136761
696,11546462,70571
697,16390636,109352
698,2284440,53750
699,17157438,47273
700,16470381,34340
701,8475974,111441
702,21153966,85426
703,2898745,53595
704,12286161,102218
705,13175429,137875
706,15518165,123649
707,11791968,40153
708,7452230,44489
709,14685766,41427
710,822313,85788
711,9215842,129279
712,13802195,82500
713,13754002,33487
714,16490625,95454
715,6157233,129735
716,7804659,83750
717,7418142,39068
718,11104122,30893
719,8741492,80682
720,20139125,83525
721,17587872,84375
722,11453029,101554
723,7092292,44857
724,18042195,37227
725,16740225,85268
726,19552922,79000
727,10906891,34517
728,5318206,91905
729,6403198,42356
730,5075412,70571
731,8505035,67063
732,8340381,167188
733,20901820,53595
734,8398566,93056
735,9677034,72439
736,12221723,46413
737,19018579,104097
738,14154393,46395
739,3585309,43672
740,16071921,56786
741,6038392,131354
742,19266676,64138
743,8151519,66698
744,17152472,70571
745,4833671,87596
746,9132956,67782
747,17666562,25540
748,17833502,116105
749,4956896,32378
750,20875310,107019
751,16346909,87292
752,21127261,22334
753,15675261,101142
754,1709874,76522
755,14984264,53203
756,9627500,76010
757,13881481,60450
758,17930505,39760
759,17346704,76832
760,16241135,100357
761,19928741,37632
762,4190301,56872
763,9382195,158125
764,4257685,84531
765,17795412,82344
766,3303849,49620
767,7024670,106587
768,4421458,17113
769,17299278,129083
770,14491416,36949
771,9513686,70490
772,12814447,40967
773,3916111,31129
774,17536953,84018
775,17545953,72762
776,6940108,56786
777,15924565,43933
778,17763769,144886
779,5773106,52377
780,21024792,31270
781,16172498,97750
782,16299489,137469
783,16164613,31889
784,11712306,79167
785,13055856,96806
786,13687101,37219
787,4661760,107043
788,9769331,31625
789,2277178,38088
790,10067154,43068
791,15479598,58958
792,18328209,50250
793,2180648,138798
794,20852769,111019
795,8539318,132205
796,16434745,74700
797,2558409,87321
798,3120624,42837
799,12145578,62632
800,2070612,149886
801,12436517,63309
802,14823526,102000
803,8593656,101772
804,8717008,75726
805,3231409,26401
806,3441311,56750
807,14687868,32347
808,11436132,131127
809,18473958,101884
810,9219613,73839
811,10084168,59670
812,15658379,107969
813,17973572,67852
814,296844,46198
815,2166428,64303
816,17406465,78047
817,1789045,82756
818,13684502,61750
819,17301466,165875
820,5144164,90515
821,11529762,64798
822,157673,102218
823,975672,50139
824,12390684,50250
825,12842613,157339
826,20234102,63472
827,13592245,17229
828,3262930,107143
829,8453546,132431
830,17251353,50343
831,13443794,135718
832,14183900,65956
833,19019919,79453
834,1645667,42787
835,12227645,137469
836,21165010,114353
837,6698326,86250
838,14251275,33700
839,10883053,108750
840,13680874,27083
841,17284319,102152
842,9588831,105188
843,3463475,60431
844,13788749,40269
845,4424511,85769
846,10108537,127904
847,20653657,28912
848,13955829,124313
849,17494909,81464
850,14539216,120917
851,8054277,107254
852,13208614,68438
853,301994,57412
854,4784037,66310
855,13209514,92500
856,3090474,55536
857,20230778,37134
858,5457251,66698
859,14577780,98264
860,16645828,102165
861,17023686,43933
862,6680201,85625
863,4566972,66835
864,9395119,101140
865,17414874,88482
866,12114394,110592
867,18135992,122008
868,3692566,60203
869,14716281,31181
870,20455984,49750
871,19436602,52566
872,669972,112500
873,6066863,71272
874,19415743,108184
875,19810585,150703
876,9670233,60227
877,15632392,52426
878,7112429,47273
879,16111399,56786
880,17510648,68686
881,6847631,48750
882,4423408,52426
883,13856304,104818
884,18612707,51667
885,6524647,37227
886,18484976,91034
887,13479621,125139
888,7092618,41300
889,10256767,53702
890,20549411,36108
891,18306713,47019
892,16454916,98264
893,262583,30528
894,4026354,18641
895,10697785,112500
896,15969097,123388
897,18314314,49080
898,18248683,70625
899,9110425,167917
900,17463966,111875
901,13701719,60718
902,20501071,88929
903,19721441,20553
904,16481119,75287
905,13828725,101250
906,1325473,69504
907,18959420,118590
908,11733534,79000
909,18464330,154402
910,16758040,84557
911,15854065,81474
912,13814436,111500
913,5605969,45453
914,8326337,127904
915,441901,69271
916,5057976,60227
917,12253009,52554
918,616274,106719
919,6524543,53611
920,4351704,32132
921,20928140,42018
922,5404201,102152
923,16736363,40705
924,19199747,51458
925,11584490,79183
926,5051241,47868
927,4333455,71806
928,5688839,101772
929,17108224,53311
930,16597216,39720
931,21175160,52895
932,12970748,156897
933,9153411,52679
934,5871900,109151
935,19544387,44063
936,17809067,59670
937,3331453,58188
938,18273842,87258
939,10469962,71801
940,6825131,84615
941,16873128,72762
942,14404369,46865
943,17558492,81375
944,1624985,76073
945,6926689,82755
946,8340604,44074
947,1101370,130232
948,277128,156897
949,7761377,34199
950,18062797,42054
951,13589984,72731
952,6150778,53595
953,16652287,42054
954,10866319,84367
955,20934059,106587
956,4846846,130089
957,14028494,119250
958,10600032,58690
959,15923366,143065
960,6413055,31769
961,6580431,67852
962,5561713,65708
963,20851751,132386
964,17526388,98657
965,5603949,130234
966,5222426,32490
967,14686852,59943
968,1995400,80833
969,723867,112768
970,13166495,92174
971,19915204,80833
972,17607909,98260
973,18613432,105469
974,9219569,68413
975,17930161,87664
976,11355757,121553
977,6424227,50223
978,13743786,76791
979,20815114,94946
980,6064250,61983
981,20581903,34327
982,13265704,69363
983,13828701,55370
984,16050332,40453
985,10930079,63674
986,1317908,41923
987,18792346,66698
988,18385413,33926
989,4157122,92738
990,402182,42787
991,278090,28382
992,10365374,147237
993,5195568,27578
994,808313,124330
995,8370508,-666666666
996,257601,152569
997,19177986,90292
998,15006410,47993
999,12148081,49236
1000,9174612,87070
1001,7087752,92288
1002,10765065,55653
1003,17340683,75726
1004,13295386,67470
1005,492235,54007
1006,17873248,58838
1007,1271318,42787
1008,1024339,66835
1009,8673141,52319
1010,14076821,31129
1011,3774989,72632
1012,20285620,72601
1013,5651414,88929
1014,17420241,60496
1015,7842597,75000
1016,15663513,67750
1017,1213582,84367
1018,648093,117869
1019,11613141,51538
1020,4051829,55370
1021,7822792,47650
1022,15255864,68516
1023,19702232,70571
1024,5213238,54783
1025,20638452,63188
1026,7020322,102165
1027,5965216,52829
1028,13559403,68703
1029,20729133,102218
1030,3614680,83456
1031,12371565,110592
1032,13884263,98608
1033,17718974,60390
1034,15643873,82589
1035,12492608,132431
1036,1403827,47255
1037,12917279,76522
1038,17734426,130234
1039,16148374,122090
1040,5736059,130232
1041,212783,123438
1042,7807992,90982
1043,8089051,36685
1044,16614389,42077
1045,17080726,77254
1046,14869306,20288
1047,13615386,48487
1048,1994574,84063
1049,15177338,90682
1050,18258027,137469
1051,7657879,111500
1052,5327035,84231
1053,16028490,66151
1054,4144519,32315
1055,322593,151477
1056,9549424,91387
1057,14056226,84018
1058,5402480,34107
1059,8729945,60991
1060,6428913,120714
1061,2715269,75250
1062,17406430,48750
1063,12470877,47743
1064,20267865,31202
1065,13479810,56094
1066,6063934,92174
1067,9451597,77792
1068,11771598,23438
1069,13532311,82589
1070,17879764,30893
1071,4610675,100357
1072,8258324,122074
1073,18411753,57412
1074,15782924,137829
1075,16288205,115509
1076,11207179,64280
1077,9882012,72911
1078,17030885,98264
1079,4301222,52262
1080,15941087,52167
1081,5195252,77254
1082,16587707,61750
1083,14088715,48611
1084,14795734,62719
1085,8583834,162690
1086,6729380,33750
1087,9466504,162690
1088,5749798,125203
1089,8115938,53600
1090,1256768,107043
1091,7389769,45357
1092,13280390,62632
1093,9332926,79219
1094,17478889,65417
1095,5846018,72601
1096,16302192,73799
1097,10920346,36949
1098,4782243,76073
1099,16134745,42776
1100,13184001,36176
1101,965917,50994
1102,9319688,50250
1103,14075859,43981
1104,19619512,128875
1105,5931952,30644
1106,9233338,58412
1107,6089007,28327
1108,18580921,19968
1109,15361068,125938
1110,10321776,61979
1111,16396169,96641
1112,14198342,67063
1113,7871076,120917
1114,13695852,82026
1115,14725758,84007
1116,12274905,42878
1117,8302890,58412
1118,7052061,119927
1119,14294502,133472
1120,18770418,47019
1121,19198552,156897
1122,6447231,31250
1123,7280679,84615
1124,9610704,77808
1125,17236477,45455
1126,15564777,123388
1127,3221082,135011
1128,6327222,98036
1129,11203030,44857
1130,15855624,36935
1131,4364789,135011
1132,16283994,92500
1133,4581364,32235
1134,14345834,89583
1135,1015336,120291
1136,17589714,30819
1137,14787084,45750
1138,15664359,121618
1139,10042246,33483
1140,18240506,46950
1141,456296,73417
1142,2314930,125714
1143,10122089,51922
1144,4597234,165875
1145,8868841,145804
1146,19251668,97125
1147,511733,66328
1148,1093570,73799
1149,2301724,39517
1150,11824444,44231
1151,9886735,77808
1152,16606957,106583
1153,8035109,120917
1154,20468805,111333
1155,19467086,120291
1156,4811433,18276
1157,14576717,84018
1158,16176333,82410
1159,8051268,137875
1160,14359772,118125
1161,14406256,87276
1162,1936397,126036
1163,1970017,100000
1164,9740255,22289
1165,10269737,120319
1166,16711973,58827
1167,4482916,78693
1168,15484080,84063
1169,12848884,100442
1170,1891874,57386
1171,18670860,19696
1172,3897670,96641
1173,13996084,63882
1174,238085,146458
1175,16454703,105625
1176,4653508,152569
1177,14918202,158646
1178,1011449,73417
1179,8368928,45852
1180,69894,65000
1181,5446539,151477
1182,18276063,73042
1183,6224336,118198
1184,20073592,58480
1185,19695447,16324
1186,21056101,113750
1187,163814,93063
1188,15342819,37227
1189,7390058,57230
1190,7932428,119167
1191,16586966,76541
1192,16705163,61750
1193,11733833,67852
1194,13326584,66835
1195,19974905,68125
1196,9684617,124719
1197,6064632,102153
1198,8992704,58838
1199,6870822,62414
1200,6909460,34107
1201,8133279,39536
1202,13504747,72316
1203,18550040,118152
1204,8720488,40967
1205,12628500,145804
1206,13394184,84442
1207,11143886,87596
1208,939724,57230
1209,6104431,76522
1210,151356,157339
1211,4279323,65273
1212,9114535,38176
1213,14196523,88882
1214,20969349,87037
1215,515392,92168
1216,14670958,64798
1217,8559800,117125
1218,725462,41786
1219,5697857,43912
1220,21021696,76667
1221,14637667,30811
1222,130565,96731
1223,11985542,113750
1224,7329091,32144
1225,20889423,78112
1226,19983936,113819
1227,258284,79833
1228,9351123,40576
1229,18394510,43538
1230,15875149,62981
1231,15787259,33967
1232,2471952,30819
1233,18043036,80826
1234,19346643,49632
1235,1914591,119464
1236,17371769,79659
1237,19439509,61750
1238,16261506,37583
1239,20740651,46140
1240,13828404,43030
1241,1077521,86579
1242,491168,48893
1243,607913,74700
1244,14854053,41611
1245,8664615,61369
1246,6412848,40146
1247,12431352,93750
1248,8504666,92944
1249,9684188,115100
1250,12468659,151917
1251,725270,99327
1252,956258,64303
1253,4710084,112500
1254,11861063,53203
1255,6188014,30213
1256,20270476,92300
1257,13282284,67891
1258,13862985,152320
1259,17572926,72344
1260,19010699,22014
1261,2904330,41118
1262,18159506,43516
1263,13971185,130099
1264,895309,107043
1265,16136972,45394
1266,6785017,65137
1267,2102542,67981
1268,17982264,97344
1269,15452525,126971
1270,3456510,117378
1271,20454892,60450
1272,18913001,47993
1273,16116059,12903
1274,4982969,42500
1275,12902372,86512
1276,9477550,148831
1277,14182668,47703
1278,252867,65956
1279,10341932,46274
1280,4103146,116105
1281,6789459,27220
1282,5213291,94055
1283,6689909,77792
1284,9900120,52676
1285,16352458,83750
1286,12342297,31960
1287,18332024,81781
1288,7247646,68725
1289,16174440,40612
1290,18448355,81667
1291,9577447,47650
1292,20687964,52096
1293,18615202,79219
1294,5078828,68482
1295,21122731,127573
1296,3085133,145387
1297,629514,42188
1298,4783809,75726
1299,821625,182625
1300,2627737,111500
1301,16230857,120000
1302,1305989,87596
1303,17432058,83750
1304,15806018,126957
1305,20480443,48750
1306,6128992,64228
1307,12156285,124313
1308,13392844,70903
1309,4786580,89340
1310,12762438,69271
1311,20994013,60948
1312,7620763,61532
1313,6325652,41527
1314,18349074,152569
1315,18629649,102153
1316,8556888,61770
1317,16912166,203796
1318,446367,95500
1319,3355334,102171
1320,7917169,128989
1321,1177395,88125
1322,19769328,101250
1323,1860971,109243
1324,13911898,165551
1325,77175,99911
1326,4918125,31270
1327,16406054,154402
1328,15902909,77750
1329,18737235,104818
1330,15986371,118198
1331,2174711,94055
1332,17160779,68725
1333,16565202,66310
1334,13328254,120000
1335,7874576,87321
1336,7032396,48678
1337,9810271,85160
1338,17237026,70150
1339,4573768,81781
1340,15986691,56420
1341,15590327,101140
1342,18656647,48429
1343,12923989,127759
1344,16323876,104183
1345,19680333,147237
1346,6791047,92738
1347,17331105,96734
1348,9184888,87321
1349,16846984,66211
1350,16390706,80833
1351,13928644,64303
1352,11924774,115509
1353,17791068,95481
1354,16355277,44215
1355,19452755,101250
1356,455864,115000
1357,9139920,73868
1358,4661515,58838
1359,12105805,41635
1360,12814934,79659
1361,15254789,136780
1362,15604452,87525
1363,17072242,105000
1364,17332367,132386
1365,17802176,99375
1366,9969773,101140
1367,1083874,40576
1368,18244125,72601
1369,5315955,93063
1370,15874419,104821
1371,17716362,42986
1372,15846039,39861
1373,20891531,84817
1374,20267690,48902
1375,12914474,123320
1376,898544,35893
1377,18330946,137009
1378,1050419,92288
1379,15930655,142500
1380,877135,67063
1381,16986429,50366
1382,18310169,127065
1383,8669406,100655
1384,13803701,27018
1385,13642640,101875
1386,9393616,70997
1387,13668573,42431
1388,13511388,66310
1389,2532873,130109
1390,9961396,113821
1391,13101775,84866
1392,16498537,62328
1393,11802490,115288
1394,2166521,30326
1395,2659856,41427
1396,20271820,61169
1397,18505453,120000
1398,13018248,37317
1399,18649806,91009
1400,21079521,80826
1401,166541,50441
1402,12685516,150670
1403,17109587,149886
1404,1364882,43030
1405,18211687,75632
1406,12854724,120000
1407,5762947,95587
1408,212140,42571
1409,17846157,62609
1410,12228298,137283
1411,16839975,60450
1412,8654861,32347
1413,766973,72786
1414,17000038,59896
1415,470090,151917
1416,4363132,59980
1417,15549056,18129
1418,17833123,95481
1419,13520598,61750
1420,10948340,27101
1421,16657906,50428
1422,9476449,52083
1423,17845285,137829
1424,17154991,41209
1425,18396898,106389
1426,20326252,106090
1427,18690466,100461
1428,6357407,58775
1429,5989927,89340
1430,17510469,66310
1431,17551632,16727
1432,17159806,42054
1433,15314273,31960
1434,11492493,92179
1435,645922,59943
1436,3103038,77500
1437,13232917,101772
1438,9425314,25530
1439,14282777,95854
1440,19247447,87664
1441,18703078,77254
1442,6987811,43297
1443,18370699,134306
1444,771640,136761
1445,17807299,76354
1446,13413839,87276
1447,15482268,104821
1448,14096583,50577
1449,20946727,40000
1450,6577316,47121
1451,634133,41146
1452,16535785,72786
1453,15309122,38136
1454,3511883,53523
1455,14524278,100357
1456,7075989,116928
1457,591524,67137
1458,9796734,91394
1459,17167011,44900
1460,16685374,158125
1461,16230722,93479
1462,18309561,92944
1463,11904920,28973
1464,7789429,102986
1465,16930115,102153
1466,3998252,40146
1467,12648073,78984
1468,18176903,39536
1469,12021394,51250
1470,16082687,136761
1471,15735536,134306
1472,18636064,42628
1473,1750679,73056
1474,17862407,93479
1475,14944159,105188
1476,6560508,64303
1477,14388924,82755
1478,491529,33889
1479,20608040,33351
1480,14705126,32038
1481,14744592,28351
1482,7808346,131568
1483,6069703,100179
1484,4925062,100112
1485,15972085,95441
1486,17027497,104231
1487,9716437,70457
1488,8869066,67852
1489,3264684,72632
1490,1080980,45319
1491,13885255,77792
1492,16963833,61042
1493,4932026,120244
1494,927702,87292
1495,8013731,120000
1496,1503930,93125
1497,3076049,79779
1498,273933,37089
1499,18993091,50428
1500,8266933,40269
1501,18980106,130099
1502,647598,94946
1503,1932459,40000
1504,312387,79219
1505,17616603,69818
1506,11768316,60275
